	ID	Semestr	Department	Sub-Department 	Subject	Grade	Learning Source	Evaluation	Susb-continent	Country
369	6	1	Engineering	Laser and Photonics	Laser technology	1,7	Lecture	good	Asia	Pakistan
370	6	1	Engineering	Laser and Photonics	optical metrology	2	Lecture	good	Asia	Pakistan
371	6	2	Engineering	Laser and Photonics	photonics	3	Lecture	bad	Asia	Pakistan
372	6	2	Engineering	Laser and Photonics	Laser spectroscopy	1	Lecture	good	Asia	Pakistan
373	6	2	Engineering	Laser and Photonics	fiber optics	2,7	Lecture	bad	Asia	Pakistan
374	6	2	Engineering	Laser and Photonics	optoelectronics	1,3	Lecture	good	Asia	Pakistan
375	7	1	Engineering	Laser and Photonics	laser materials prosessing	1	Lecture	good	Asia	Pakistan
376	7	1	Engineering	Laser and Photonics	Laser metrology	2	Lecture	good	Asia	Pakistan
377	7	1	Engineering	Laser and Photonics	Laser technology	2	Lecture	good	Asia	Pakistan
378	7	2	Engineering	Laser and Photonics	optical metrology	1	Lecture	good	Asia	Pakistan
379	7	2	Engineering	Laser and Photonics	optoelectronics	1,7	Lecture	good	Asia	Pakistan
380	7	2	Engineering	Laser and Photonics	photonics	4	Lecture	bad	Asia	Pakistan
381	7	2	Engineering	Laser and Photonics	fiber optics	3	Lecture	bad	Asia	Pakistan
382	7	2	Engineering	Laser and Photonics	Laser spectroscopy	1	Lecture	good	Asia	Pakistan
383	7	3	Engineering	Laser and Photonics	Microsensors and actuators	2,7	Lecture	bad	Asia	Pakistan
384	7	3	Engineering	Laser and Photonics	photovoltaics	1,3	Lecture	good	Asia	Pakistan
385	7	4	Engineering	Laser and Photonics	methods and instruments of technology managment	1	Lecture	good	Asia	Pakistan
386	7	4	Engineering	Laser and Photonics	journal club	2,3	Lecture	good	Asia	Pakistan
387	7	4	Engineering	Laser and Photonics	Project Advance optics	2	Lecture	good	Asia	Pakistan
388	7	5	Engineering	Laser and Photonics	biophysical chemistry 1	1	Lecture	good	Asia	Pakistan
389	7	5	Engineering	Laser and Photonics	computational engineering 2	3	Lecture	bad	Asia	Pakistan
390	8	1	Engineering	Laser and Photonics	photonics	1	Lecture	good	Asia	Pakistan
391	8	1	Engineering	Laser and Photonics	Laser spectroscopy	1,7	Lecture	good	Asia	Pakistan
392	8	1	Engineering	Laser and Photonics	laser materials prosessing	1	Lecture	good	Asia	Pakistan
393	8	1	Engineering	Laser and Photonics	optoelectronics	3,3	Lecture	bad	Asia	Pakistan
394	8	2	Engineering	Laser and Photonics	Laser metrology	1	Lecture	good	Asia	Pakistan
395	8	2	Engineering	Laser and Photonics	optical metrology	2	Lecture	good	Asia	Pakistan
396	8	2	Engineering	Laser and Photonics	biophysical chemistry 1	1	Lecture	good	Asia	Pakistan
397	8	2	Engineering	Laser and Photonics	fiber optics	2	Lecture	good	Asia	Pakistan
398	8	2	Engineering	Laser and Photonics	Microsensors and actuators	2	Lecture	good	Asia	Pakistan
399	8	3	Engineering	Laser and Photonics	journal club	1	Lecture	good	Asia	Pakistan
400	8	3	Engineering	Laser and Photonics	Laser technology	1,7	Lecture	good	Asia	Pakistan
401	8	3	Engineering	Laser and Photonics	methods and instruments of technology managment	2	Lecture	good	Asia	Pakistan
402	8	4	Engineering	Laser and Photonics	computational engineering 2	3	Lecture	bad	Asia	Pakistan
403	8	4	Engineering	Laser and Photonics	Project Advance optics	1	Lecture	good	Asia	Pakistan
404	9	1	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Sozialstruktur & Sozialordnung De.		PDF-Dateien, Anwesenheit	good	Europe	Germany
405	9	1	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Methoden der empirischen Sozialforschung 		PDF-Dateien	bad 	Europe	Germany
406	9	1	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Grundlagen Soziologie		PDF-Dateien, Karteikarten	good	Europe	Germany
407	9	2	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Politische Institutionen		PDF-Dateien	bad  	Europe	Germany
408	9	2	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Verkehr & Nachhaltigkeit		Anwesenheit, K-Karten	good	Europe	Germany
409	9	2	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Grundlagen Politikwissenschaft		E-Learning, PDF-Dateien	good	Europe	Germany
410	9	2	 Instituts für Politikwissenschaft (IfP)	Politikwissenschaft	Grundlagen Polisystem De		Anwesenheit	bad	Europe	Germany
